STATION,NAME,DATE,PGTM,PRCP,SNOW,TMAX,TMIN,TSUN
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/1/2000,2130,0,0,26,9,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/2/2000,531,0.07,1.4,28,13,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/3/2000,840,0,0.2,26,7,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/4/2000,732,0,0.1,18,-6,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/5/2000,1257,0.12,1.6,22,-4,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/6/2000,558,0.07,1.2,23,-1,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/7/2000,1918,0.02,0.3,14,-10,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/8/2000,33,0,0,35,12,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/9/2000,1612,0,0,32,13,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/10/2000,2342,0.18,1.9,32,26,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/11/2000,459,0,0,26,-7,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/12/2000,1714,0.06,1.9,11,-9,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/13/2000,1334,0.02,1,17,0,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/14/2000,1343,0.01,0.4,20,-2,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/15/2000,1910,0,0,30,10,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/16/2000,46,0,0,12,-5,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/17/2000,944,0.06,2.3,23,11,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/18/2000,209,0,0,25,5,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/19/2000,2004,0,0.2,10,-8,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/20/2000,1108,0,0,1,-16,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/21/2000,2332,0,0,2,-17,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/22/2000,2229,0.16,3.8,15,0,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/23/2000,1101,0,0,3,-9,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/24/2000,2321,0,0.2,17,-8,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/25/2000,43,0,0,13,-1,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/26/2000,1033,0,0,16,-8,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/27/2000,1520,0,0,21,-11,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/28/2000,1425,0,0,23,3,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/29/2000,2347,0,0,27,-3,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/30/2000,2333,0,0,31,6,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",1/31/2000,2020,0,0,27,18,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/1/2000,118,0,0,30,9,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/2/2000,1117,0.08,0.2,27,14,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/3/2000,433,0.11,1.3,29,24,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/4/2000,610,0,0,27,19,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/5/2000,304,0,0,32,4,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/6/2000,1320,0,0,37,0,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/7/2000,242,0,0,24,7,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/8/2000,1347,0,0,33,10,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/9/2000,139,0.04,0.8,33,19,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/10/2000,1306,0.05,1.3,19,2,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/11/2000,36,0,0,13,-8,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/12/2000,800,0.02,0.6,15,-3,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/13/2000,1256,0.02,1.2,14,-4,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/14/2000,1811,0,0,20,3,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/15/2000,1435,0.39,7.3,20,8,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/16/2000,1231,0,0,11,-9,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/17/2000,1332,0,0.3,20,-11,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/18/2000,1602,0,0.1,25,8,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/19/2000,2108,0,0.1,24,4,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/20/2000,1103,0,0,35,10,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/21/2000,259,0,0,43,18,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/22/2000,2032,0,0,45,23,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/23/2000,1341,0.03,0,45,28,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/24/2000,1935,0,0,37,33,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/25/2000,1433,0.28,0,42,34,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/26/2000,1002,0.06,0,44,33,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/27/2000,1609,0,0.1,43,27,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/28/2000,1719,0,0,40,23,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",2/29/2000,1333,0,0,55,35,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/1/2000,216,0,0,35,23,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/2/2000,2339,0,0,42,18,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/3/2000,1347,0,0,55,25,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/4/2000,1535,0,0,56,28,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/5/2000,1812,0,0,56,29,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/6/2000,1638,0,0,54,31,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/7/2000,1405,0,0,70,36,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/8/2000,909,1.76,0.2,49,25,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/9/2000,1002,0.03,0.5,25,13,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/10/2000,214,0.01,0.5,26,15,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/11/2000,1403,0,0,37,15,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/12/2000,1525,0,0,30,11,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/13/2000,1014,0.01,0.2,32,21,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/14/2000,1446,0.1,1.9,32,20,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/15/2000,1600,0.37,6.1,26,6,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/16/2000,1507,0,0,24,-4,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/17/2000,1748,0,0,30,-4,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/18/2000,320,0,0,40,30,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/19/2000,2128,0,0,39,30,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/20/2000,105,0,0,35,30,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/21/2000,2033,0,0,44,32,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/22/2000,1336,0,0,58,35,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/23/2000,1800,0,0,56,31,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/24/2000,2019,0.33,0,46,40,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/25/2000,1246,0,0,49,31,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/26/2000,1549,0.02,0,58,30,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/27/2000,1147,0.01,0.1,40,30,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/28/2000,207,0,0,41,26,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/29/2000,1113,0,0,44,24,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/30/2000,1549,0,0,56,21,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",3/31/2000,1628,0,0,54,31,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/1/2000,1417,0,0,52,31,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/2/2000,1315,0.31,0,50,33,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/3/2000,947,0.02,0.2,37,28,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/4/2000,1125,0,0,43,23,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/5/2000,2213,0.45,0.6,43,30,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/6/2000,226,0.01,0.1,39,25,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/7/2000,1118,0,0,30,20,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/8/2000,1442,0.03,0,44,20,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/9/2000,739,0,0,39,24,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/10/2000,1045,0.05,0.9,35,20,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/11/2000,1723,0.08,1,39,23,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/12/2000,2304,0.01,0.3,40,17,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/13/2000,202,0.07,1,54,30,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/14/2000,1211,0.04,0,39,27,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/15/2000,144,0,0,31,25,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/16/2000,1236,0.03,0.5,31,27,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/17/2000,810,0.01,0.1,33,28,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/18/2000,2317,0,0,56,33,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/19/2000,2026,0.11,0.9,40,31,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/20/2000,336,0,0,41,25,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/21/2000,1325,0,0,57,21,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/22/2000,1545,0,0,61,35,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/23/2000,1415,0,0,59,39,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/24/2000,1759,0,0,59,37,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/25/2000,1157,0,0,66,35,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/26/2000,1539,0,0,72,35,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/27/2000,2018,0,0,67,43,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/28/2000,928,0.06,0,51,31,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/29/2000,929,0,0,54,29,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",4/30/2000,1315,0.1,0,69,31,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",5/1/2000,1058,0,0,58,40,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",5/2/2000,1738,0,0,60,36,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",5/3/2000,1322,0,0,79,38,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",5/4/2000,1831,0,0,74,49,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",5/5/2000,1112,0,0,82,45,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",5/6/2000,1437,0,0,82,51,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",5/7/2000,2247,0.14,0,71,51,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",5/8/2000,302,1.45,0,61,48,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",5/9/2000,1300,0,0,63,41,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",5/10/2000,1046,0.27,0,61,36,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",5/11/2000,1613,0.02,0,54,42,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",5/12/2000,1944,0,0,65,42,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",5/13/2000,1447,0.13,0,46,36,
