STATION,NAME,DATE,PGTM,PRCP,SNOW,TMAX,TMIN,TSUN
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/1/2000,458,0,,43,33,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/2/2000,1157,0.05,,57,34,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/3/2000,1230,0.28,,37,31,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/4/2000,1225,0,,31,17,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/5/2000,1848,0,,26,8,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/6/2000,147,0,,36,24,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/7/2000,530,0,,28,15,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/8/2000,859,0,,43,25,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/9/2000,2217,0.06,,39,33,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/10/2000,1205,0.05,,43,36,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/11/2000,348,0,,36,25,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/12/2000,2012,0,,32,23,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/13/2000,530,0,,32,11,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/14/2000,2223,0,,27,9,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/15/2000,1047,0,,38,27,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/16/2000,924,0,,36,22,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/17/2000,2024,0,,27,22,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/18/2000,1702,0,,34,19,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/19/2000,2350,0.09,,25,13,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/20/2000,21,0,,19,2,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/21/2000,836,0,,10,-4,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/22/2000,1110,0.03,,25,7,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/23/2000,937,0,,22,3,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/24/2000,1930,0,,16,-3,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/25/2000,1029,0,,22,11,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/26/2000,314,0,,21,10,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/27/2000,2357,0,,28,13,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/28/2000,1441,0,,29,11,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/29/2000,2317,0,,31,19,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/30/2000,11,0.06,,30,23,
USW00094818,"RACINE BATTEN AIRPORT, WI US",1/31/2000,1300,0,,25,14,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/1/2000,1059,0,,30,17,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/2/2000,1753,0.02,,30,13,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/3/2000,34,0,,35,26,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/4/2000,957,0,,29,17,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/5/2000,1202,0,,31,15,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/6/2000,1113,0,,31,15,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/7/2000,1230,0,,33,13,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/8/2000,2329,0,,33,10,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/9/2000,124,0,,43,33,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/10/2000,1950,0,,36,27,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/11/2000,123,0,,27,16,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/12/2000,2210,0,,31,11,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/13/2000,1913,0.19,,31,29,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/14/2000,2,0.01,,30,14,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/15/2000,1404,0,,41,18,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/16/2000,117,0,,38,19,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/17/2000,2251,0,,33,13,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/18/2000,1821,0.03,,32,29,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/19/2000,2205,0,,32,22,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/20/2000,2139,0,,32,22,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/21/2000,1129,0,,45,21,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/22/2000,1309,0,,55,39,
USW00094818,"RACINE BATTEN AIRPORT, WI US",2/23/2000,927,0,,59,40,
