STATION,NAME,DATE,PGTM,PRCP,SNOW,TMAX,TMIN,TSUN
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/1/2000,,0,0,40,22,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/2/2000,,0,0,35,25,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/3/2000,,0,0,33,22,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/4/2000,,0,0,24,14,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/5/2000,,0.04,,23,8,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/6/2000,,0.04,,29,16,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/7/2000,,0,0,21,0,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/8/2000,,0,0,41,18,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/9/2000,,0,0,36,20,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/10/2000,,0,0,35,29,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/11/2000,,0.04,0,35,11,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/12/2000,,0.17,,12,6,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/13/2000,,0.12,,21,9,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/14/2000,,0,0,28,0,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/15/2000,,0,0,37,21,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/16/2000,,0,0,31,3,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/17/2000,,0,0,24,14,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/18/2000,,0,0,27,12,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/19/2000,,0.26,,19,5,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/20/2000,,0,0,11,-12,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/21/2000,,0,0,5,-13,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/22/2000,,0,0,23,2,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/23/2000,,0,0,20,-1,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/24/2000,,0,0,19,-3,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/25/2000,,0,0,20,11,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/26/2000,,0,0,21,-3,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/27/2000,,0,0,20,-1,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/28/2000,,0,0,26,3,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/29/2000,,0,0,28,5,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/30/2000,,0,0,27,10,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1/31/2000,,0,0,29,9,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/1/2000,,0,0,27,21,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/2/2000,,0,0,31,12,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/3/2000,,0.01,0,38,24,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/4/2000,,0,0,27,23,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/5/2000,,0,0,32,10,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/6/2000,,0,0,36,19,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/7/2000,,0,0,34,17,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/8/2000,,0,0,38,12,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/9/2000,,0,0,41,31,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/10/2000,,0.11,0,35,20,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/11/2000,,0,0,20,0,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/12/2000,,0.06,,19,1,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/13/2000,,0,0,24,10,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/14/2000,,0,0,28,11,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/15/2000,,0.06,,29,16,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/16/2000,,0,0,23,7,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/17/2000,,0.07,,23,6,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/18/2000,,0,0,29,21,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/19/2000,,0,0,30,16,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/20/2000,,0,0,41,11,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/21/2000,,0,0,44,22,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/22/2000,,0,0,55,31,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/23/2000,,0.31,0,46,36,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/24/2000,,0.15,0,43,38,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/25/2000,,0.23,0,54,41,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/26/2000,,0.03,0,55,39,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/27/2000,,0.01,0,46,32,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/28/2000,,0,0,53,28,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",2/29/2000,,0,0,59,47,
